article_id,full_name,sex,birth_year,city,state,country,continent,latitude,longitude,occupation,industry,domain,article_languages,page_views,average_views,historical_popularity_index,wikidata_id,name_de,description_en,description_de
841,Attila the Hun,Male,406,Hajdúböszörmény,,Hungary,Europe,,,Politician,Government,Institutions,83,11123103,134013,29.2433,Q36724,Attila,5th-century ruler of the Hunnic Empire,König der Hunnen
8551,David,Male,-1040,Bethlehem,,Palestine,Asia,31.70306,35.19556,Politician,Government,Institutions,72,14023246,194767,29.2419,Q41370,David,king of Israel and Judah,"Nachfolger Sauls, zweiter König von Israel"
44525,Raphael,Male,1483,Urbino,,Italy,Europe,43.71667,12.63333,Painter,Fine Arts,Arts,112,16525336,147548,29.2108,Q5597,Raffael,Italian painter and architect (1483–1520),italienischer Maler und Architekt (1483–1520)
8145410,Charles Darwin,Male,1809,Shrewsbury,,United Kingdom,Europe,52.71278,-2.76319,Biologist,Natural Sciences,Science & Technology,148,49582198,335015,29.1979,Q1035,Charles Darwin,English naturalist and biologist (1809-1882),"britischer Naturforscher, Begründer der modernen Evolutionstheorie (1809-1882)"
13623554,Che Guevara,Male,1928,Rosario,,Argentina,South America,-32.95,-60.66667,Social Activist,Activism,Public Figure,129,54896869,425557,29.1644,Q5809,Che Guevara,Argentine Marxist revolutionary (1928–1967),"argentinischer Mediziner, marxistischer Revolutionär (1928–1967)"
15941,Jean-Jacques Rousseau,Male,1712,Geneva,,Switzerland,Europe,46.2,6.15,Philosopher,Philosophy,Humanities,106,26399173,249049,29.1628,Q6527,Jean-Jacques Rousseau,"Genevan philosopher, writer, and composer (1712-1778)",französischsprachiger Philosoph und Schriftsteller
65119,Laozi,Male,-400,Henan,,China,Asia,33.9,113.5,Philosopher,Philosophy,Humanities,105,6743614,64225,29.1483,Q9333,Laozi,"6th-century BC semi-legendary Chinese philosopher, founder of Taoism",chinesischer Philosoph
19379,Mahatma Gandhi,Male,1869,Porbandar,,India,Asia,21.63,69.6,Social Activist,Activism,Public Figure,138,44366012,321493,29.1406,Q1001,Mohandas Karamchand Gandhi,Indian independence activist (1869–1948),indischer politischer sowie religiöser Führer und Rechtsanwalt (1869–1948)
26983,Saladin,Male,1138,Tikrit,,Iraq,Asia,34.6,43.68333,Politician,Government,Institutions,104,14119978,135769,29.1401,Q8581,Saladin,Sultan of Egypt and founder of the Ayyubid dynasty (1137–1193),"Gründer der Dynastie der Ayyubiden von Ägypten und Syrien (1137–1193, reg. 1171-1193)"
31665644,Saint Peter,Male,0,Bethsaida,,Syria,Asia,32.91,35.631,Religious Figure,Religion,Institutions,98,14650751,149497,29.1364,Q33923,Petrus,apostle of Jesus Christ,Apostel
27784,Sappho,Female,-625,Lesbos Island,,Greece,Europe,39.16667,26.33333,Writer,Language,Humanities,82,5492117,66977,29.1232,Q17892,Sappho,ancient Greek poet from Lesbos (c. 630-c. 570 BC),griechische Dichterin der Antike
2023,Aeschylus,Male,-525,Eleusina,,Greece,Europe,38.03333,23.53333,Writer,Language,Humanities,74,6231138,84205,29.0996,Q40939,Aischylos,ancient Athenian playwright,griechischer Tragödiendichter
23979,Ptolemy,Male,90,Egypt,,Egypt,Africa,31.2,29.91667,Astronomer,Natural Sciences,Science & Technology,87,9459640,108731,29.0892,Q34943,Claudius Ptolemäus,"2nd-century Roman mathematician, astronomer, geographer","griechischer Mathematiker, Musiktheoretiker, Geograph und Astronom"
